t0,m0,mw,x,y,z,area,dt
655243321262.8464,1.1685405743014615e+20,7.311763,1023616.762605,5726435.570286,-3600.0,1181234155.35464,45.2098388671875
655625115228.1472,6.681038934847575e+19,7.149896,1043460.31939,5913585.093691,-10500.0,834926082.038771,20.1297607421875
655931485024.8782,2.3847197183919165e+22,8.851625,926628.994569,5432521.097422,-16378.378378,59424915705.4153,155.840576171875
655931485404.1533,5.394608979162775e+19,7.087973,830759.318543,5483495.496359,-3000.0,737997214.920205,22.018798828125
656194547712.5312,6.7394493102949384e+19,7.152416,876948.991581,5495943.307502,-8000.0,719004931.352248,17.77392578125
656289323662.4152,8.551593116405508e+19,7.221365,16362.126028,4591348.890788,-17700.0,1529910966.26046,25.081787109375
656437393397.8419,1.311620274267225e+20,7.345205,-19940.723121,4498190.368684,-10536.585366,1768109413.719421,25.0059814453125
656751917782.2195,5.638586746271445e+19,7.10078,146035.292125,4961893.423929,-11056.654224,963535382.183451,29.4337158203125
656839930071.1304,1.406382418255833e+20,7.365402,169480.274296,4996305.690439,-6857.142857,1422213428.243548,38.001953125
657258184617.9377,3.2750809613300836e+22,8.943481,1907302.605477,7235083.889483,-18324.324324,100132553594.74626,489.923095703125
657698886250.1823,1.0156000304907234e+21,7.937815,326808.232245,5114076.291149,-11250.0,8250697134.626664,121.1038818359375
657732022862.0767,7.801851141701435e+19,7.194798,88755.229866,4898167.365388,-9482.926829,736098844.054424,22.158935546875
657880734351.1074,4.315626643767093e+19,7.023363,477420.205119,5119312.535208,-5400.0,372483089.733781,18.1246337890625
658019339809.981,9.568499993310454e+19,7.253896,651461.884271,5309985.026326,-7200.0,1065067858.467922,36.0638427734375
658334591304.63,8.220975396111883e+19,7.209949,713656.527414,5328783.657764,-9600.0,782447772.792638,13.9095458984375
658648986950.8495,1.8663308397748496e+20,7.447326,108457.84656,4815028.64466,-10800.0,1260801990.176223,25.6796875
658679071341.8541,2.766101078671297e+20,7.561245,538522.15965,5260618.317445,-7200.0,2420428704.802268,46.0931396484375
658825127943.029,8.61122374828745e+19,7.223377,172607.521875,4994165.816047,-6271.428571,1060425250.893968,32.1322021484375
659442915783.3258,1.084998922302237e+20,7.290286,1134301.649594,5700302.677116,-10928.571429,861966151.856656,20.757568359375
659629444110.6699,5.395622230084596e+19,7.088028,672330.646201,5267394.81122,-6000.0,555022054.095005,24.94970703125
659678533243.753,4.347240717390231e+19,7.025476,787713.188778,5385294.386655,-3600.0,516969530.471175,18.7098388671875
660272737100.6628,1.0579065883940918e+20,7.282965,650210.099902,5221855.655943,-10500.0,986892087.344255,36.3115234375
660535018615.8672,3.4359176003549626e+20,7.624028,1910666.389395,7227098.721343,-17027.027027,3634611934.709555,41.3419189453125
660560229947.9401,6.200358694104464e+19,7.128278,732935.802574,5345462.736993,-12600.0,578122920.743066,14.6109619140625
660617563100.4558,8.782747931069987e+19,7.229087,786181.655545,5378501.589818,-3000.0,1065315855.156092,36.9171142578125
660619317422.4232,7.45470711096623e+19,7.18162,790391.282407,5359152.952326,-12000.0,640530743.730368,17.8333740234375
660914846299.2885,2.993280934163152e+20,7.584098,744118.233276,5402220.305223,-10000.0,2189170467.113786,46.218017578125
660961501884.992,2.773142027884469e+20,7.561981,516350.874681,5250544.425141,-6300.0,2242352363.030013,62.129150390625
661021091523.9819,8.118064756507497e+20,7.872968,11708.865092,4546236.417158,-18146.341463,5809891980.648523,47.5867919921875
661068867990.9664,2.0570671659780892e+20,7.475499,535231.574847,5322293.158251,-13500.0,2017178539.098767,54.4945068359375
661625683966.494,1.5288451616450393e+20,7.389576,662426.164865,5289208.647566,-3000.0,1522732085.170236,35.9530029296875
662074735407.0238,6.758526264536548e+19,7.153235,733023.241457,5293611.479321,-12461.538462,640565342.929717,20.6746826171875
